Category,NPC/Facility,Location(s),Recipe / Method,Product,Required Skill(s),Materials,Item Type,Scope,Notes,Data Status,Source URL
Handicrafts,Craftsman,Bremen,Make large food rack,Large Food Rack,Handicrafts 18; Food Trading 12,Fine Furniture x50; Trade Good Storage Expansion x1; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Trujillo,Make stone bookends,Stone Bookends,Handicrafts 4; Mineral Trading 3,Stone x15; Lumber x10; Carpentry Tools x5,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Trujillo,Make Caribbean clothes trunk,Caribbean Clothes Trunk,Handicrafts 14; Fabric Trading 7,Copper x60; Master Craftsman's Carpentry Tools x25; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Trujillo,Make food baskets,Food Basket,Handicrafts 14; Food Trading 7,Hemp Fabric x40; Master Craftsman's Carpentry Tools x25; Improved Rope x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Trujillo,Make wheelbarrows,Wheelbarrow,Handicrafts 15; Livestock Trading 5,Iron x75; Master Craftsman's Carpentry Tools x25; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Trebizond; Jaffa,Make rattan tool box,Rattan Tool Box,Handicrafts 5; Textile Trading 1,Kenaf x20; Hemp Fabric x10; Carpentry Tools x5,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Trebizond; Jaffa,Make rack bookcase,Free Rack Bookcase,Handicrafts 15; Dye Trading 5,Persian Berry x55; Master Craftsman's Carpentry Tools x25; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Trebizond; Jaffa,Make wardrobes,Islamic Style Wardrobe,Handicrafts 16; Fabric Trading 10,Turkish Carpet x25; Shipwright's Saw x1; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Craftsman,Trebizond; Jaffa,Make high chest,High Chest Storage,Handicrafts 16; Seasoning Trading 10,Goldwork x30; Shipwright's Hammer x1; Processed Lumber x1,Furniture,Basic NPC Production / Book replacement,Book replacement or furniture-making NPC craft,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Barkeep,Ragusa,Brewing beer (wheat),Beer x1~2,Handicrafts 2,Wheat x4,Trade good / alcohol,Basic NPC Production / Book replacement,Same as Brewery Secret book,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Barkeep,Ragusa,Brewing beer (rye),Beer x1~2,Handicrafts 2,Rye x4,Trade good / alcohol,Basic NPC Production / Book replacement,Same as Brewery Secret book,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Barkeep,Ragusa,Akvavit,Akvavit x1~2,Handicrafts 3,Rye x7,Trade good / alcohol,Basic NPC Production / Book replacement,Same as Brewery Secret book,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Barkeep,Ragusa,Brewing vodka (rye),Vodka x1~2,Handicrafts 3,Rye x8,Trade good / alcohol,Basic NPC Production / Book replacement,Same as Brewery Secret book,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Barkeep,Ragusa,Brewing vodka (barley),Vodka x1~2,Handicrafts 3,Barley x8,Trade good / alcohol,Basic NPC Production / Book replacement,Same as Brewery Secret book,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Barkeep,Ragusa,Brewing wine,Wine x1~2,Handicrafts 3,Raisins x1,Trade good / alcohol,Basic NPC Production / Book replacement,Same as Brewery Secret book,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Barkeep,Ragusa,Brewing liqueur,Liqueur x1~2,Handicrafts 4,Berries x5,Trade good / alcohol,Basic NPC Production / Book replacement,Same as Brewery Secret book,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Barkeep,Ragusa,Brewing whiskey (wheat),Whiskey x1~2,Handicrafts 5,Wheat x8,Trade good / alcohol,Basic NPC Production / Book replacement,Same as Brewery Secret book,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Handicrafts,Barkeep,Ragusa,Brewing gin,Gin x1~2,Handicrafts 5,Barley x4; Berries x1,Trade good / alcohol,Basic NPC Production / Book replacement,Same as Brewery Secret book,Confirmed in Basic/Handicrafts page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts
Sewing,Shopkeeper,London,Making Male Noble Gown,Noble Gown,Sewing 10,Velvet x20; Gold Thread x20; Fine Fur x5,Body equipment,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shopkeeper,London,Making Male Noble Hat,Noble Hat,Sewing 10,Feathers x15; Felt x20; Embroidery Thread x15,Head equipment,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shopkeeper,Marseilles,Making Female Noble Dress,Noble Dress,Sewing 10,Velvet x20; Gold Thread x20; Fine Fur x5,Body equipment,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shopkeeper,Marseilles,Making Female Noble Treasure Crown,Noble Coronet,Sewing 10,Georgette Fabric x10; Goldwork x10; Jewellery x10,Head equipment,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Amsterdam; London; Lisbon; Seville; Venice,Make Small Latin sail,Small Latin Sail,Sewing 5,Hemp Fabric x10; Lumber x10; Rope x1,Sail / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Amsterdam; London; Lisbon; Seville; Venice,Make Small square sail,Small Square Sail,Sewing 6,Hemp Fabric x10; Lumber x10; Rope x1,Sail / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Amsterdam; London; Lisbon; Seville; Venice,Make fine rigging,High Quality Rigging,Sewing 5,Iron x10; Lumber x20; Rope x1,Rigging / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Amsterdam; London; Lisbon; Seville; Venice,Make Small gaff sail,Small Gaff Sail,Sewing 7,Hemp Fabric x10; Lumber x10; Rope x1,Sail / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Antwerp; Bergen; Pisa; Ceuta; Valencia; Ragusa; Salonika,Make Medium Latin sail,Medium Latin Sail,Sewing 9,Hemp Fabric x20; Lumber x20; Improved Rope x1,Sail / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Antwerp; Bergen; Pisa; Ceuta; Valencia; Ragusa; Salonika,Make Medium square sail,Medium Square Sail,Sewing 10,Hemp Fabric x20; Lumber x20; Improved Rope x1,Sail / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Antwerp; Bergen; Pisa; Ceuta; Valencia; Ragusa; Salonika,Make Medium gaff sail,Medium Gaff Sail,Sewing 11,Hemp Fabric x20; Lumber x20; Improved Rope x1,Sail / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Trujillo; Pernambuco; Caracas; Cayenne; Willemstad; Grand Cayman; Busan; Nagasaki; Anping; Hangzhou,Make Large Latin sail,Large Latin Sail,Sewing 13,Hemp Fabric x30; Processed Lumber x1; Improved Rope x1,Sail / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Trujillo; Pernambuco; Caracas; Cayenne; Willemstad; Grand Cayman; Busan; Nagasaki; Anping; Hangzhou,Make Large square sail,Large Square Sail,Sewing 14,Hemp Fabric x30; Processed Lumber x1; Improved Rope x1,Sail / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Trujillo; Pernambuco; Caracas; Cayenne; Willemstad; Grand Cayman; Busan; Nagasaki; Anping; Hangzhou,Make Large gaff sail,Large Gaff Sail,Sewing 15,Hemp Fabric x30; Processed Lumber x1; Improved Rope x1,Sail / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Ceuta; Seville; Lisbon; Trujillo (C18 P3?),Cutting Large Hemp Cloth,Hemp Fabric x95,Sewing 7,Large Hemp Cloth x1,Material conversion,Basic NPC Production,World-clock note in source,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Ceuta; Seville; Lisbon; Trujillo (C18 P3?),Cutting Large Cotton Cloth,Cotton Fabric x95,Sewing 8,Large Cotton Cloth x1,Material conversion,Basic NPC Production,World-clock note in source,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Ceuta; Seville; Lisbon; Trujillo (C18 P3?),Cutting Long Jute Thread,Jute x95,Sewing 9,Long Jute Thread x1,Material conversion,Basic NPC Production,World-clock note in source,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Ceuta; Seville; Lisbon; Trujillo (C18 P3?),Cutting Large Wool Cloth,Woollen Fabric x95,Sewing 10,Large Wool Cloth x1,Material conversion,Basic NPC Production,World-clock note in source,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Ceuta; Seville; Lisbon; Trujillo (C18 P3?),Cutting Long Silk Thread,Silk Thread x95,Sewing 11,Long Silk Thread x1,Material conversion,Basic NPC Production,World-clock note in source,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Ceuta; Seville; Lisbon; Trujillo (C18 P3?),Cutting Large Lace Cloth,Lace x95,Sewing 11,Large Lace Cloth x1,Material conversion,Basic NPC Production,World-clock note in source,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Sailmaker,Ceuta; Seville; Lisbon; Trujillo (C18 P3?),Cutting Large Silk Cloth,Silk Cloth x95,Sewing 12,Large Silk Cloth x1,Material conversion,Basic NPC Production,World-clock note in source,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shipyard Master,Busan; Nagasaki; Tamsui,Make East Asian Sail,Small Junk Sail,Sewing 12,East Asia Shipbuilding Techniques x1; Processed Lumber x1; Rope x1,Sail / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shipyard Master,Busan; Nagasaki; Tamsui,Make Standard Junk Sail,Middle Junk Sail,Sewing 14,East Asia Shipbuilding Techniques x1; Processed Lumber x1; Rope x1,Sail / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shipyard Master,Busan; Nagasaki; Tamsui,Make Heavy Junk Sail,Large Junk Sail,Sewing 16,East Asia Shipbuilding Techniques x2; Processed Lumber x1; Rope x1,Sail / ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shipwright,Veracruz,Making improved rope,Improved Rope,Sewing 8,Jute x10; Sisal x20,Shipbuilding material,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shipwright,Calicut,Make a mooring rope,Painter Rope,Sewing 12,Metal Work x1; Rope x1; Improved Rope x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shipwright,Bahia,Make a fender rope,Anti-skid Rope,Sewing 12,Hemp Fabric x30; Rope x1; Improved Rope x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shipwright,Alexandria,Make a tangle net,Tangle Net,Sewing 12,Metal Work x1; Rope x1; Improved Rope x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shipwright,Santo Domingo,Make Grappling hook rope,Traverse Rope,Sewing 14,Metal Work x1; Rope x1; Improved Rope x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shipwright,Nantes; Porto; Las Palmas; Algiers; Goa; Calcutta,Make rope,Rope,Sewing 6,Jute x30,Shipbuilding material,Basic NPC Production,Book replacement NPC recipe,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing
Sewing,Shopkeeper,Portobelo,Camisa Ravalero,Camisa Ravalero,Sewing 12,Mulberry x20; Hemp Fabric x30; Sewing Set x30,Body equipment,Basic NPC Production,Special Production list,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Sewing,Shopkeeper,Portobelo,Casco Panache,Casco Panache,Sewing 12,Feathers x30; Maya Blue x20; Mulberry x20,Head equipment,Basic NPC Production,Special Production list,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Sewing,Skilled Tailor,Grand Cayman,Superior Bonnet & Sail,Superior Bonnet & Sail,Sewing 7,Hemp Fabric x41; Iron x25; Lumber x25,Sail / ship part,Basic NPC Production,Special Production list,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Sewing,Skilled Tailor,Grand Cayman,Superior Staysail & Sail,Superior Staysail & Sail,Sewing 10,Hemp Fabric x21; Iron x1; Lumber x1,Sail / ship part,Basic NPC Production,Special Production list,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Sewing,Skilled Tailor,Grand Cayman,Superior Full Rigged Sail,Superior Full Rigged Sail,Sewing 15,Hemp Fabric x49; Iron x?; Lumber x?,Sail / ship part,Basic NPC Production,Special Production list; source snippet truncated after first material,Confirmed in Basic/Sewing or Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Cooking,Barkeep,St Petersburg Tavern,White meat fish soup,Ukha x1~2,Cooking 5,Onions x2; Herring x1,Food,Basic NPC Production,NPC exclusive,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,St Petersburg Tavern,Veggie soup recipe book,Shchi x1~2,Cooking 6,Turnips x1; Onions x1; Carrots x2,Food,Basic NPC Production,NPC exclusive,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,St Petersburg Tavern,Oval vegetable bread,Piroshki x1~2,Cooking 6,Pork x1; Flour x1; Mushrooms x2,Food,Basic NPC Production,NPC exclusive,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,St Petersburg Tavern,Bean and cereal porridge,Kasha x1~2,Cooking 7,Barley x2; Broad Beans x1,Food,Basic NPC Production,NPC exclusive,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,St Petersburg Tavern,Caviar pancake,Blini x1~2,Cooking 8,Milk x2; Flour x1; Caviar x1,Food,Basic NPC Production,NPC exclusive,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,St Petersburg Tavern,Wine-marinated lamb skewers,Shashlik x1~2,Cooking 12,Lamb x2; Wine x2; Salt x1,Food,Basic NPC Production,NPC exclusive,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Rest House Master,Wanganui Rest Area; Guam Rest Area,Grilled caterpillar,Roasted Gusano x1~3,Cooking 5,Hornworms x5,Food,Basic NPC Production,NPC exclusive,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Rest House Master,Wanganui Rest Area; Guam Rest Area,Spit-roasted crocodile,Spit-roasted Crocodile x1~2,Cooking 8,Crocodile Meat x2; Logs x1,Food,Basic NPC Production,NPC exclusive,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Rest House Master,Wanganui Rest Area; Guam Rest Area,Stewed kangaroo meat,Kangaroo Tail Soup x1~2,Cooking 11,Taro x2; Kangaroo Meat x2; Common Grass x1,Food,Basic NPC Production,NPC exclusive,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Famous Chef,Grand Cayman Tavern; Trujillo Tavern; Pernambuco Tavern,Perfect white fish,Whitefish in Tomato Sauce x2~4,Cooking 11,Fish x3; Tomatoes x1; Cassava x2,Food,Basic NPC Production,NPC exclusive,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Famous Chef,Grand Cayman Tavern; Trujillo Tavern; Pernambuco Tavern,Perfect spicy chicken,Roasted Chicken Marinate x1~3,Cooking 11,Sweet Potatoes x3; Poultry x1; Allspice x1,Food,Basic NPC Production,NPC exclusive,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Shipwright,Luanda,Galley construction,Galley,Cooking 12,Fish x30; Flour x30; Processed Lumber x1,Ship part,Basic NPC Production,NPC exclusive,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barmaid,Lisbon Tavern - Christina,Navigator Dishes,Fisherman's Snacks,Cooking 7,Fava Bean Soup x1; Salmon Meuniere x1; Muffins x1,Aide food,Basic NPC Production,Aide food recipe,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barmaid,Lisbon Tavern - Christina,Dishes for Lookout,Country Stew Set,Cooking 7,Bouillabaisse x1; Lamb and Turnip x1; Boule x1,Aide food,Basic NPC Production,Aide food recipe,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barmaid,Lisbon Tavern - Christina,Dishes for Paymaster,Marinated Seafood & Two Breads,Cooking 7,Shrimp Marinade x1; Rye Bread with Raisins x1; Almond Biscuits x1,Aide food,Basic NPC Production,Aide food recipe,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barmaid,Lisbon Tavern - Christina,Dishes for Store Keeper,Pie and Fruit Tray Set,Cooking 7,Lentil and Bacon Soup x1; Meat Pie x1; Assorted Fruits x1,Aide food,Basic NPC Production,Aide food recipe,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barmaid,Lisbon Tavern - Christina,Dishes for Lieutenant,Chunky Stew,Cooking 7,Mahashi x1; Lamb and Turnip x1; Rye Bread with Raisins x1,Aide food,Basic NPC Production,Aide food recipe,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barmaid,Lisbon Tavern - Christina,Dishes for Surgeon,Healthy Cooking Set,Cooking 7,Bagel x1; Portuguese Bouillabaisse x1; Consomme Soup x1,Aide food,Basic NPC Production,Aide food recipe,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),Excellent alpaca meat,Alpaca Meat x1~2,Cooking 3,Alpacas x1,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),Potato cold storage,Chuno x1~2,Cooking 5,Potatoes x2,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),Steaming corn,Choclo x1~2,Cooking 5,Corn x2,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),Quinoa biscuit,Quinoa Biscuits x1~2,Cooking 7,Quinoa x5,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),Maca cooked rice,Maca Porridge,Cooking 10,Milk x1; Maca x2,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),S. America bouillabaisse,Parihuela,Cooking 10,Chillies x1; Sardine x1; Spear Squid x1,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),Potato & cheese sauce,Papa a la Huancaina,Cooking 10,Potatoes x3; Cheese x2; Milk x1,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),Stewed alpaca meat,Pachamanca,Cooking 10,Potatoes x2; Alpaca Meat x1; Rocks x1,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),Anchovy side dish,Fish and Nuts Stir-fry,Cooking 11,Salt x1; Anchovies x2; Cashew Nuts x1,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),Vegetable paste recipe,Guacamole,Cooking 12,Corn x1; Tomatoes x1; Chillies x2,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),Rolling guacamole,Burrito,Cooking 13,Tlaxcalli x1; Guacamole x1,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),Root veg & grain rice,Potato & Quinoa Porridge,Cooking 14,Quinoa x2; Alpaca Meat x1; Chuno x2,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Cooking,Barkeep,Seville Tavern (C16 P5?),Maca warrior's dish,Pachamanca Dressed with Maca,Cooking 15,Maca x1; Pachamanca x1,Food,Basic NPC Production,Book replacement - Andes special cuisine,Confirmed in Basic/Cooking page,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Cooking
Casting,Shipwright,Portobelo,Special Sea Mines,Special Sea Mines,Casting 13,Black-mud x10; Gunpowder x10; Lead x10,Ship battle part,Special Production (NPC-assisted),Special Production list,Confirmed in Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Casting,Shipwright,Ragusa; Trieste; Ceuta,Processed Iron,Processed Iron,Casting 6,Iron x30,Shipbuilding material,Special Production (NPC-assisted),Special Production list,Confirmed in Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Casting,Weaponsmith,Alexandria,Modified Standard Gun Port,Modified Standard Gun Port,Casting 9,Lumber x30; Metal Work x1,Ship part,Special Production (NPC-assisted),Special Production list,Confirmed in Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
