ItemName,ItemName_Japanese,ItemType,Bonus_Stats,Craft_Location,NPC_or_Facility,Materials,Skill_Rank,Contribution_Cost,Unlock_Conditions,Tradable_Bound,Notes,Data_Status,Source_URLs,Added_In_This_Version,Review_Priority
Silk Hat,シルクハット,Headwear,Durability 50; Formality 30; Defense stat 6; no skill boost on Lorenzo black/purple/green version; other versions can have Dye Trading +1 or Social +1/Persuasion +1,Florence special production / Lorenzo de Medici monthly recipe rotation; accessed through NPC special production menu,Lorenzo de Medici,Silk Fabric x50; Satin x20; Supreme Dye x5,Sewing rank 15,Contribution 500,Server-wide monthly rotation,Not specified publicly,"Included as special craft headwear; skill bonus depends on version, and Lorenzo version may be stat-only.",Recipe confirmed; version-specific bonus caveat,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4726 | https://gvdb.mydns.jp/db/module/TradeDB/action/RecipeShow?id=2445,No,Normal
Rose Staff,バラの杖,Weapon / staff,Attack stat 3; Durability 20; Formality 60; Fragrance Trading +1; Social +1; total fame 8000,Florence special production / Lorenzo de Medici monthly recipe rotation; accessed through NPC special production menu,Lorenzo de Medici,Priest Staff x1; Rose x40; Gold x10,Handicrafts / Crafts rank 13,Contribution 300,Server-wide monthly rotation; refreshes on the 1st of the month,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4726 | https://w.atwiki.jp/wiki11_dol/pages/27.html,No,Normal
Crusader Knight Armor,十字軍騎士の鎧,Body armor,Defense stat 35; Defense +1; Command +1,Florence special production / legacy Florentine artisan; also workshop artisan in other cities if recipe is available,Florence artisan / Workshop artisan (exact NPC name not publicly resolved),Leather x5; Leather Laces x10; Pure Iron Sheet x15,Casting/Forge: rank not shown in retrieved public line; no production skill needed when crafted in Florence,Casting contribution 400,"World Clock: 16th century, periods 2-3",Not specified publicly,Confirmed special/Florence production armor.,"Confirmed, rank incomplete",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4725 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,No,High
Lorica Hamata,ロリカハマタ,Body armor,Charge +1,Florence special production / Medici special production,Exact NPC not publicly resolved in extracted report,Not specified in extracted report,Not specified in extracted report,Not specified in extracted report,Confirmed by melee/combat boost index; full recipe not resolved,Not specified publicly,"Confirmed by boost index, but full recipe data not found in extracted report.","Index-confirmed, recipe incomplete",https://gvo.gamedb.info/wiki/?BoostItem%2Fsol2=,No,High
Wing Hussar Armor,ウィングハサーの鎧,Body armor,Attack stat 3; Defense stat 30; Charge +1; Swordplay +1,Florence special production / legacy Florentine artisan; also workshop artisan in other cities if recipe is available,Florence artisan / Workshop artisan (exact NPC name not publicly resolved),Steel x20; Tanned Leather x20; Pure Iron Sheet x5,Casting/Forge: rank not shown in retrieved public line; no production skill needed when crafted in Florence,Not specified in retrieved line,Special/Florence production confirmed; exact time window not resolved in extracted report,Not specified publicly,Confirmed bonus armor; some recipe fields incomplete.,"Confirmed, some fields incomplete",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4725,No,High
Ottoman Turkish Navy Admiral Uniform,オスマントルコ海軍将官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 25; Durability 50; fame 200000; Command +3; Gunfire +2; Steering +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 15 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 48000 points; Rear Admiral or above (from boost source),Not specified publicly,Completed previously incomplete row.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://w.atwiki.jp/wiki11_dol/pages/13.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Updated_Audit_2026-05-13,High
Adventurer's Gloves,冒険家のグローブ,Gloves / hand equipment,Durability 55; Disguise 5; Defense stat 6; Search +1,Florence special production / legacy Florentine artisan; also workshop artisan in other cities if recipe is available,Florence artisan / Workshop artisan (exact NPC name not publicly resolved),Leather x20; Steel x1; Leather Laces x5,Sewing: rank not shown in retrieved public line; no production skill needed when crafted in Florence,Sewing contribution 150,World Clock: 16th century period 2; fame 3000; adventurer-class restriction,Not specified publicly,Class restriction is documented in the source report.,"Confirmed, rank incomplete",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4727,No,High
Alvilda's Helm,アルヴィダの兜,Head armor / helmet,Defense stat 15; Rapid Fire +1; Command +1,Florence special production / legacy Florentine artisan; also workshop artisan in other cities if recipe is available,Florence artisan / Workshop artisan (exact NPC name not publicly resolved),Kite Feathers x6; Steel x10; Pure Iron Sheet x5,Casting/Forge: rank not shown in retrieved public line; no production skill needed when crafted in Florence,Casting contribution 200,"World Clock: 17th century, period 2",Not specified publicly,Confirmed special/Florence production helmet.,"Confirmed, rank incomplete",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4725,No,High
Great Helm,グレートヘルム,Head armor / helmet,Defense stat 15; Defense +1; Sniping +1,Florence special production / legacy Florentine artisan; also workshop artisan in other cities if recipe is available,Florence artisan / Workshop artisan (exact NPC name not publicly resolved),Steel x5; Pure Iron Sheet x10,Casting/Forge: rank not shown in retrieved public line; no production skill needed when crafted in Florence,Casting contribution 320,"World Clock: 16th century, periods 3 and 5",Not specified publicly,"Confirmed special/Florence production item. Outside Florence, corresponding production skill is required.","Confirmed, rank incomplete",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4725 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,No,High
Hussar Helm,ハサーの兜,Head armor / helmet,Defense stat 12; Defense +2,Florence special production / legacy Florentine artisan; also workshop artisan in other cities if recipe is available,Florence artisan / Workshop artisan (exact NPC name not publicly resolved),Steel x10; Gold x5; Pure Iron Sheet x3,Casting/Forge: rank not shown in retrieved public line; no production skill needed when crafted in Florence,Casting contribution 230,"World Clock: 17th century, period 2",Not specified publicly,One of the confirmed +2 Defense special craft items.,"Confirmed, rank incomplete",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4725,No,High
Empire Hat,エンパイアハット,Headwear / hat,Archaeology +1,Florence special production / Medici special production,Exact NPC not publicly resolved in extracted report,Not specified in extracted report,Not specified in extracted report,Not specified in extracted report,Boost index mentions special production and cultural merit; exact details not resolved,Not specified publicly,"Confirmed by boost index, but full recipe data not found in extracted report.","Index-confirmed, recipe incomplete",https://gvo.gamedb.info/wiki/?BoostItem%2Fadv1%2Fhumanities=,No,High
Felt Hat,フェルトハット,Headwear / hat,Durability 45; Disguise 5; Defense stat 5; Biology +1; Marching +1,Florence special production / legacy Florentine artisan; also workshop artisan in other cities if recipe is available,Florence artisan / Workshop artisan (exact NPC name not publicly resolved),Kite Feather x1; Drapery x10; Embroidered Thread x10,Sewing: rank not shown in retrieved public line; no production skill needed when crafted in Florence,Sewing contribution 120,World Clock: 16th century period 2; fame 1500,Not specified publicly,Good exploration/movement hat from special production.,"Confirmed, rank incomplete",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4727,No,High
Lilly Pipe,リリパイプ,Headwear / hat,Durability 40; Defense stat 6; Gathering +1,Florence special production / legacy Florentine artisan; also workshop artisan in other cities if recipe is available,Florence artisan / Workshop artisan (exact NPC name not publicly resolved),Jewellery x5; Leather Laces x15; Supreme Fur x10,Sewing: rank not shown in retrieved public line; no production skill needed when crafted in Florence,Sewing contribution 100,World Clock: 15th century periods 1 and 5; fame 500,Not specified publicly,Confirmed special/Florence production hat.,"Confirmed, rank incomplete",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4727,No,High
Phrygian Cap,フリジア帽,Headwear / hat,Durability 35; Defense stat 5; Art Trading +1; Vigilance +1,Florence special production / legacy Florentine artisan; also workshop artisan in other cities if recipe is available,Florence artisan / Workshop artisan (exact NPC name not publicly resolved),Knitted Fabric x10; Cotton x10; Fine Fur x5,Sewing: rank not shown in retrieved public line; no production skill needed when crafted in Florence,Sewing contribution 100,World Clock: 15th century period 5 and 16th century period 2; fame 1000,Not specified publicly,Confirmed special/Florence production headwear.,"Confirmed, rank incomplete",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4727 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,No,High
Repair Tool Set,修理道具一式,Ship tool / reinforcement material,Increases ship durability by +10 to +30 according to prior item source; exact application details may vary by ship size/type,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Spare Sail x10; Spare Rudder x10; Carpenter's Tools x10,Handicrafts rank 8,Handicrafts contribution 200,,Not specified publicly,"Included because it is a special-production tool, not a wearable +skill item.",Recipe confirmed; item effect needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Sail Repair Tool Set,縫帆道具一式,Ship tool / sail repair material,Effect/bonus needs verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Hemp Fabric x30; Carpenter's Tools x10; Sewing Set x20,Handicrafts rank 8,Handicrafts contribution 200,,Not specified publicly,,Recipe confirmed; bonus/effect needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Zakuro Stone Forehead Ornament,ザクロ石の額飾り,Head equipment,Dye Trading +1; Fiber Trading +1; Durability 50; Formality 10; Defense 5; female-only,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Gold x10; Goldwork x10; High-grade Garnet x50,Handicrafts rank 11,Handicrafts contribution 300,,Not specified publicly,Bonus confirmed on Dye Trading boost page; craft recipe confirmed on Anita page.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/39.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,Normal
Laurel Wreath,月桂冠,Head equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Laurel x30; Vegetable Oil x30; Grass x30,Handicrafts rank 11,Handicrafts contribution 257,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Silver Tableware,銀食器,Accessory / furnishing-like item,Bonus/effect needs verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Silver x5; Crucible x1,Handicrafts rank 11,Handicrafts contribution 200,,Not specified publicly,,Recipe confirmed; bonus/effect needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Corsage Shoes,コサージュシューズ,Foot equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Red Flowers x60; High-grade Dye x2; Tanned Leather x2,Handicrafts rank 11,Handicrafts contribution 630,Female-only recipe,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Afro Wig,アフロウィッグ,Head equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Dyestuff x5; Goat Hair x12; Rabbit Hair x5,Handicrafts rank 12,Handicrafts contribution 200,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Navy Official Shoes (country variants),海軍公用靴,Foot equipment,"Stat-only/bonus not confirmed; recipe family covers Portugal, Spain, England, Ottoman, Netherlands, France, Venice variants",Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Flax x20; High-grade Dye x5; Tanned Leather x7,Handicrafts rank 12,Handicrafts contribution 300,"Royal Fleet achievements 5,000 points",Not specified publicly,,Recipe confirmed; no +skill bonus found yet,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Fringe Boots,フリンジブーツ,Foot equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Leather Cord x20; High-grade Dye x5; Tanned Leather x7,Handicrafts rank 12,Handicrafts contribution 350,"Company colony population 2,000",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Moccasin,モカシン,Foot equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Embroidery Thread x60; High-grade Dye x10; Tanned Leather x5,Handicrafts rank 12,Handicrafts contribution 350,"Company colony population 2,000",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Feathered Headband,羽根付きヘッドバンド,Head equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Eagle Feathers x40; High-grade Dye x3; Tourmaline x5,Handicrafts rank 12,Handicrafts contribution 410,"Company colony population 2,200; male recipe",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
War Bonnet,ウォーボンネット,Head equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Leather Cord x30; Eagle Feathers x20; Natal Indigo x20,Handicrafts rank 12,Handicrafts contribution 420,"Company colony population 2,800",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Navy Official Hat (country variants),海軍官帽,Head equipment,"Stat-only/bonus not confirmed; recipe family covers Spain, England, Ottoman, Netherlands, France, Portugal, Venice variants",Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Platinum x5; High-grade Dye x3; High-grade Velvet x7,Handicrafts rank 12,Handicrafts contribution 410,"Royal Fleet achievements 7,500 points",Not specified publicly,,Recipe confirmed; no +skill bonus found yet,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Feathered Bonnet,羽根付きボンネット,Head equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Eagle Feathers x40; High-grade Dye x3; Tourmaline x5,Handicrafts rank 12,Handicrafts contribution 410,Female recipe,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Hairband,ヘアバンド,Head equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Cotton Fabric x20; Leather Cord x30; Natal Indigo x20,Handicrafts rank 12,Handicrafts contribution 380,"Company colony population 2,000",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Black Leather Shoes,黒革靴,Foot equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Flax x20; High-grade Dye x5; Tanned Leather x7,Handicrafts rank 12,Handicrafts contribution 600,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Dread Hair,ドレッドヘア,Head equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Sewing Set x2; Leather Cord x10; Rabbit Hair x8,Handicrafts rank 13,Handicrafts contribution 200,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Tiamat Statue,ティアマトの像,Ship figurehead / statue,Ship figurehead stats/effect need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Lumber x25; Pearl x5; Copper x20,Handicrafts rank 13,Handicrafts contribution 200,,Not specified publicly,,Recipe confirmed; ship-part stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Aži Dahāka Statue,アジ・ダハーカの像,Ship figurehead / statue,Ship figurehead stats/effect need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Lumber x25; Aventurine x10; Copper x25,Handicrafts rank 13,Handicrafts contribution 200,,Not specified publicly,,Recipe confirmed; ship-part stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Mercurius Boots,メルクリウスブーツ,Foot equipment,"Astronomy +1; crafted/colony version: Durability 40; Defense 5; Fame 5,000",Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Leather Cord x40; Tanned Leather x2; Supreme Dye x1,Handicrafts rank 13,Handicrafts contribution 500,"Cumulative contribution total 6,523 according to PB note",Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4114 | https://w.atwiki.jp/wiki11_dol/pages/345.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,Normal
Academic Tam,アカデミックタム,Head equipment,Alchemy +1; Durability/defense/fame details need item-page verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Gold Thread x20; Supreme Dye x1; High-grade Velvet x20,Handicrafts rank 13,Handicrafts contribution 500,,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/110.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,Normal
Wide-brim Felt Hat,広縁フェルト帽,Head equipment,Astronomy +1 in one boost source; version-specific bonus caveat,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Velvet x40; High-grade Dye x2; High-grade Velvet x10,Handicrafts rank 13,Handicrafts contribution 760,,Not specified publicly,,"Confirmed bonus + confirmed special recipe, version caveat",https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/345.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,Normal
Greaves,グリーヴ,Foot armor,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Leather x40; Iron x30; Brass x50,Handicrafts rank 13,Handicrafts contribution 302,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Lacy Gloves,レーシィグローブ,Hand equipment,"Social +2; Spice Trading +1; Precious Metals Trading +1; Attack 3; Defense 20; Fame 5,000 in boost sources",Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Lace x7; Silk Fabric x10; High-grade Dye x5,Handicrafts rank 14,Handicrafts contribution 510,,Not specified publicly,,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://w.atwiki.jp/wiki11_dol/pages/28.html | https://w.atwiki.jp/wiki11_dol/pages/37.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,Normal
Platinum Mirror,プラチナミラー,Accessory,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Anita / Chamber of Commerce,Gold x3; High-grade Platinum x20; Supreme Platinum x5,Handicrafts rank 17,Handicrafts contribution 1200,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4091 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Portugal Navy Junior Officer Uniform,ポルトガル海軍尉官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 15; Durability 50; fame 150000; Command +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce,Tweed x30; Gold Thread x20; Premium Dye x2,Sewing 1 in recipe source; no skill needed when crafted in Florence,Sewing contribution 600,Royal Fleet achievement 20000 points; Navy Ensign or above (from boost source),Not specified publicly,Renamed/standardized from previous ambiguous row.,Confirmed bonus + confirmed special recipe,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm | https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101,Audit_2026-05-13,High
Belly Dancer,ベリーダンサー,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Silk Fabric x5; Gold Thread x10; Belly Dancer x1,Sewing rank 12,Sewing contribution 370,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Leather Mantle,レザーマント,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,High-grade Dye x1; Tanned Leather x3; Ethnic Clothing x30,Sewing rank 12,Sewing contribution 600,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Hunter's Tunic,ハンターズチュニック,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Leather Cord x30; Tanned Leather x2; Supreme Dye x1,Sewing rank 12,Sewing contribution 560,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Chaplet,チャプレット,Head equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Laurel x30; Gold x5; Grass x30,Sewing rank 12,Sewing contribution 450,Cumulative Roman coins condition; threshold not resolved from source lines,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Spain Public Sailor Uniform,イスパニア公用水夫服,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Cotton Fabric x60; Embroidery Thread x20; High-grade Dye x1,Sewing rank 12,Sewing contribution 200,"Royal Fleet achievements 2,000 points",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
England Public Sailor Uniform,イングランド公用水夫服,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Cotton Fabric x60; Embroidery Thread x20; High-grade Dye x1,Sewing rank 12,Sewing contribution 200,"Royal Fleet achievements 2,000 points",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Ottoman Public Sailor Uniform,オスマントルコ公用水夫服,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Cotton Fabric x60; Embroidery Thread x20; High-grade Dye x1,Sewing rank 12,Sewing contribution 200,"Royal Fleet achievements 2,000 points",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Netherlands Public Sailor Uniform,ネーデルラント公用水夫服,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Cotton Fabric x60; Embroidery Thread x20; High-grade Dye x1,Sewing rank 12,Sewing contribution 200,"Royal Fleet achievements 2,000 points",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
France Public Sailor Uniform,フランス公用水夫服,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Cotton Fabric x60; Embroidery Thread x20; High-grade Dye x1,Sewing rank 12,Sewing contribution 200,"Royal Fleet achievements 2,000 points",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Portugal Public Sailor Uniform,ポルトガル公用水夫服,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Cotton Fabric x60; Embroidery Thread x20; High-grade Dye x1,Sewing rank 12,Sewing contribution 200,"Royal Fleet achievements 2,000 points",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
